variant,label,signal_date,signal_close,effective_from,exit_date,exit_price,exit_origin,status,net_return,trade_drawdown,trade_days,baseline_next_buy,days_to_baseline_buy,rsi,momentum_7d,volume_rel_20,distance_sma200,sma50_slope_5d,confirmation_reference,confirmation_margin
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",2019-03-27,139.08,2019-03-28,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,2019-04-23,27.0,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.09182712980348706,0.02225603868465975,135.2785714285714,0.02810074449548572
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",2020-01-19,166.75,2020-01-20,2020-02-19,258.66,trail8_exit,closed,0.5462245887232384,-0.09700632270234388,31,2020-05-28,130.0,64.75235781172817,0.1374488403819918,0.22549167771635958,-0.08210167065752894,0.011779414881733175,161.39142857142858,0.033202329739586034
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",2020-05-07,212.47,2020-05-08,2020-05-10,187.73,trail8_exit,closed,-0.11926509818421438,-0.11643996799548173,3,2020-05-28,21.0,62.94168107682831,0.03025747951316493,0.28878480748864654,0.22294710855921962,0.056084522029947736,207.7657142857143,0.022642261888390802
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",2023-01-06,1268.84,2023-01-07,2023-03-03,1569.54,sma50_exit,closed,0.23303291984994168,-0.09872074098894257,56,2023-02-15,40.0,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.08657795325115425,0.0012527289960140298,1218.4842857142855,0.041326519246980276
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",2024-11-06,2724.27,2024-11-07,2024-12-18,3624.84,trail8_exit,closed,0.3263185336219978,-0.09531665314781301,42,2024-12-09,33.0,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.07900863009147197,0.0053974182089220335,2493.217142857143,0.09267257679693253
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",2025-06-11,2772.39,2025-06-12,2025-06-16,2545.27,trail8_exit,closed,-0.08485759511064461,-0.08671940095008279,5,2025-07-02,21.0,63.95059758539855,0.06259701732801326,0.469585199542526,0.04440138338853328,0.04647973497404534,2576.7657142857142,0.07591853796786219
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",2026-01-13,3323.38,2026-01-14,2026-01-20,2936.5,sma50_exit,closed,-0.11923682593022777,-0.12469223386053507,7,,,64.75244995747667,0.008432480982160984,0.677278663037175,-0.08629739862487107,0.010497647033403723,3134.6885714285713,0.060194633141957166
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",2026-08-17,1911.94,2026-08-18,,,,open,0.26474931221691045,-0.037284362826933815,5,,,56.60937915220985,0.021641089214722298,0.5306269438502533,-0.04797028438771889,0.016880965162540562,1878.5485714285714,0.017775121218204903
rsi40_mean7_mom7,"Diagnostica: RSI >=40, media7 e momentum7",2017-02-01,10.72,2017-02-02,2017-03-08,16.68,trail8_exit,closed,0.5509950280597011,-0.15243902439024393,35,2017-03-18,45.0,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.005819480188263615,0.02492691183258966,10.581428571428573,0.013095720264614474
rsi40_mean7_mom7,"Diagnostica: RSI >=40, media7 e momentum7",2018-05-03,775.51,2018-05-04,2018-05-11,678.05,trail8_exit,closed,-0.12846774921277626,-0.16496305418719215,8,2019-04-23,355.0,71.61990046759124,0.17323751891074135,0.46839802995781965,0.18793984705567435,0.003179446066632119,671.3142857142857,0.1552115253660198
rsi40_mean7_mom7,"Diagnostica: RSI >=40, media7 e momentum7",2019-03-27,139.08,2019-03-28,2019-04-11,164.92,trail8_exit,closed,0.18200084983606524,-0.08752904725019373,15,2019-04-23,27.0,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.09182712980348706,0.02225603868465975,135.2785714285714,0.02810074449548572
rsi40_mean7_mom7,"Diagnostica: RSI >=40, media7 e momentum7",2020-01-15,166.29,2020-01-16,2020-02-19,258.66,trail8_exit,closed,0.5505018351650732,-0.09700632270234388,35,2020-05-28,134.0,70.7352442673671,0.18271692745376944,1.050578830597526,-0.09712049361105102,0.004172469732023787,145.93285714285713,0.13949663739684603
