date,event,reason,mode,cooldown_days,entry_date,entry_close,exit_close,trade_return,peak_close,stop_level,momentum_7d,volume_rel,official_buy_still_true,days_since_trail,reset_seen_red,green_streak
2021-01-11,EXIT,Trail8,cooldown,30,2020-12-27,682.642333984375,1090.1453857421875,0.5969495758918753,1281.0772705078125,1178.5910888671876,0.04798189633412275,1.0269180558352744,True,,,
2021-01-22,BLOCKED_ENTRY,cooldown_30,cooldown,30,,1236.51220703125,,,,,,,,11.0,False,0.0
2021-01-25,BLOCKED_ENTRY,cooldown_30,cooldown,30,,1324.414794921875,,,,,,,,14.0,False,0.0
2021-01-29,BLOCKED_ENTRY,cooldown_30,cooldown,30,,1382.5228271484375,,,,,,,,18.0,False,0.0
2021-02-07,BLOCKED_ENTRY,cooldown_30,cooldown,30,,1614.227783203125,,,,,,,,27.0,False,0.0
2021-02-15,ENTRY,Buy,cooldown,30,2021-02-15,1779.791015625,,,,,,,,,,
2021-02-26,EXIT,Official_Sell,cooldown,30,2021-02-15,1779.791015625,1446.03369140625,-0.1875261316012128,,,,,,,,
2021-03-17,ENTRY,Buy,cooldown,30,2021-03-17,1823.4493408203125,,,,,,,,,,
2021-03-23,EXIT,Official_Sell,cooldown,30,2021-03-17,1823.4493408203125,1678.650146484375,-0.079409496658019,,,,,,,,
2021-03-31,ENTRY,Buy,cooldown,30,2021-03-31,1918.362060546875,,,,,,,,,,
2021-04-07,EXIT,Trail8,cooldown,30,2021-03-31,1918.362060546875,1971.0772705078125,0.02747928091629892,2143.2255859375,1971.7675390625002,0.02747928091629892,0.37798365813551826,True,,,
2021-04-17,BLOCKED_ENTRY,cooldown_30,cooldown,30,,2344.89501953125,,,,,,,,10.0,False,0.0
2021-04-18,BLOCKED_ENTRY,cooldown_30,cooldown,30,,2237.136962890625,,,,,,,,11.0,False,0.0
2021-04-19,BLOCKED_ENTRY,cooldown_30,cooldown,30,,2166.188720703125,,,,,,,,12.0,False,0.0
2021-04-20,BLOCKED_ENTRY,cooldown_30,cooldown,30,,2330.2109375,,,,,,,,13.0,False,0.0
