Date,EquityStrategy,EquityBuyHold,DailyReturnStrategy,DailyReturnBuyHold,EffectiveExposure,Turnover
2019-06-19,20.88326208724942,32.58259268292683,0.016718992321367754,0.016718992321367754,1.0,0.0
2019-06-20,21.132658535406236,32.97170731707317,0.011942408571747443,0.011942408571747443,1.0,0.0
2019-06-21,23.01672827615477,35.91128048780488,0.08915441176470584,0.08915441176470607,1.0,0.0
2019-06-22,23.96769791024805,37.39500731707317,0.04131645569620246,0.04131645569620246,1.0,0.0
2019-06-23,23.85038057793752,37.21196585365855,-0.004894810204544742,-0.00489481020454452,1.0,0.0
2019-06-24,24.162708840115215,37.69926829268293,0.013095315655742956,0.013095315655742734,1.0,0.0
2019-06-25,24.597016050456837,38.37688536585366,0.01797427652733119,0.01797427652733119,1.0,0.0
2019-06-26,26.016478077816664,40.591565853658544,0.057708708424144994,0.057708708424144994,1.0,0.0
2019-06-27,22.800740074947313,35.574290243902446,-0.1236038941647255,-0.1236038941647255,1.0,0.0
2019-06-28,24.036068276097897,37.50168048780488,0.054179302824820086,0.054179302824820086,1.0,0.0
2019-06-29,24.628870425455066,38.42658536585366,0.024663024856967475,0.024663024856967253,1.0,0.0
2019-06-30,22.536581843254737,35.16214390243903,-0.0849526813880126,-0.0849526813880126,1.0,0.0
2019-07-01,22.818609602385344,35.60217073170732,0.012514220705347023,0.012514220705347023,1.0,0.0
2019-07-02,22.628260288371575,35.305182926829275,-0.008341845420497096,-0.008341845420496985,1.0,0.0
2019-07-03,23.44715080661857,36.58283658536586,0.03618884120171684,0.03618884120171684,1.0,0.0
2019-07-04,21.971749389017965,34.280878048780494,-0.06292455018390275,-0.06292455018390275,1.0,0.0
2019-07-05,22.375756096312493,34.911219512195125,0.018387553041018245,0.018387553041018245,1.0,0.0
2019-07-06,22.342347849363136,34.85909512195122,-0.001493055555555567,-0.001493055555555567,1.0,0.0
2019-07-07,23.800656675501276,37.13438536585366,0.0652710644364849,0.06527106443648512,1.0,0.0
2019-07-08,24.3367424986421,37.970800000000004,0.022523992949011085,0.022523992949010863,1.0,0.0
2019-07-09,23.923412559640774,37.32591219512195,-0.016983782403269032,-0.016983782403269143,1.0,0.0
