Data,Open,High,Low,Close,ETH-USD,SMA50,SMA200,RSI,ATR,Volume,VolumeAvg20,Azione,Livello_Rischio,Standard_Entry,Breakout_Raw,Breakout_Guard_Passed,Breakout_Entry,Entry_Path,Position_Open,Official_Sell,Trail8_Stop_Hit,Trail8_Confirmed
2020-02-13,266.63,278.01,253.75,268.42,268.42,169.2072,175.2635,86.3358924881318,14.223853627718372,264197.24736242,123109.726623584,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-14,268.37,287.98,260.13,286.27,286.27,172.4228,175.64120000000003,88.54936918767643,15.19714979716706,191566.74315799,130854.18759358849,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-15,285.95,290.0,261.35,264.92,264.92,175.1966,175.91665,73.26246471439944,16.158067668797983,251243.79219334,141183.69043393052,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-16,264.83,274.0,236.37,258.5,258.5,177.8084,176.11565000000002,69.38353140859282,17.691777121026696,248679.14437688,149394.45376354753,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-17,258.58,269.0,242.36,268.03,268.03,180.483,176.36805,71.77267913064009,18.330935898096214,204959.48476961,154529.21926423098,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-18,268.2,286.87,259.24,283.31,283.31,183.52719999999997,176.69559999999998,75.12445961435841,18.995154762517913,211662.70708459,160841.85841478,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-19,283.34,287.13,250.0,258.66,258.66,186.12959999999998,176.8782,62.277132841492794,20.29050085090949,239803.85463207,167610.7274510125,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-20,258.51,264.26,245.25,257.4,257.4,188.67379999999997,177.05115,61.69632958555003,20.199036504415954,203271.5155604,172342.314397805,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-21,257.2,268.71,254.1,265.8,265.8,191.4536,177.21515,64.10006944502257,19.799819611243386,136892.24699258,175904.41832160653,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-22,265.79,267.04,256.3,262.08,262.08,194.0118,177.3965,62.23735393605871,19.152689639011715,63814.59112412,174288.20566730498,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-23,261.94,276.62,261.53,275.48,275.48,196.8386,177.64489999999998,66.06302559176517,18.862497521939453,104405.13989679,175053.8028643335,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-24,275.48,278.13,256.06,265.31,265.31,199.43859999999998,177.8674,61.01112123944562,19.091604841800923,197775.66826806,180489.6005460035,MANTIENI STATO ATTUALE,ALTO,False,False,True,False,,False,False,False,False
2020-02-25,265.53,266.24,244.44,246.5,246.5,201.4848,178.04840000000002,52.946460245763475,19.285061638815144,152709.51365655,180928.16749581,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-02-26,246.28,250.84,215.33,223.5,223.5,203.0932,178.1354,45.09686619859031,20.443985807471204,404352.61565839,193029.97644490548,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-02-27,223.78,239.0,209.26,227.63,227.63,204.8338,178.19325,46.627032096819036,21.107986821223264,342714.17971542,202083.109687037,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-02-28,227.6,234.9,213.63,227.37,227.37,206.62699999999998,178.27380000000002,46.53909597521227,21.119559191135888,258340.98757632,208126.37898585552,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-02-29,227.13,233.32,216.83,217.31,217.31,208.0788,178.31744999999998,43.14829361965771,20.78887639176904,93401.32179224,207235.867529293,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-03-01,217.36,227.99,211.5,217.26,217.26,209.57140000000004,178.47225000000003,43.131473250114155,20.481813792356967,144339.90935814,209128.59350340502,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-03-02,217.34,234.5,215.75,232.12,232.12,211.2818,178.69185,49.43979998796382,20.358112807188615,189047.53250784,209858.72726450302,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-03-03,232.12,232.92,220.0,223.75,223.75,212.8866,178.88429999999997,46.322856917834855,19.826819035246572,173987.90547375,203858.30505787503,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-03-04,223.72,228.83,220.39,224.56,224.56,214.06259999999997,179.07915,46.67323878048176,19.013474818443246,106846.75811775,195990.7805956415,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-03-05,224.49,234.47,224.49,228.64,228.64,215.3096,179.24865000000003,48.49690510660649,18.36822661712587,160025.91518532,194413.739197008,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-03-06,228.6,245.84,227.77,245.56,245.56,216.9422,179.46485,55.320774231990086,18.346924715902592,140307.21140132,188866.910157407,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-03-07,245.53,253.01,236.67,237.75,237.75,218.30540000000002,179.67079999999999,51.902395904588246,18.20357295048098,147025.87399131,183784.24663812848,MANTIENI STATO ATTUALE,MEDIO,False,False,True,False,,False,False,False,False
2020-03-08,237.75,237.75,196.0,199.46,199.46,218.8134,179.73125,39.134691769484625,19.885460596875195,293962.39516435,188234.3921578655,VENDI,BASSO,False,False,True,False,,False,True,False,False
2020-03-09,199.51,208.65,189.85,202.77,202.77,219.53379999999999,179.79305,40.49735637731332,19.8079276970984,461839.12853606,200743.213230439,VENDI,BASSO,False,False,True,False,,False,True,False,False
2020-03-10,202.76,206.28,195.17,200.5,200.5,220.21020000000001,179.82260000000002,39.83862845073461,19.186647147305656,184956.93858031,198000.86742785102,VENDI,BASSO,False,False,True,False,,False,True,False,False
2020-03-11,200.63,202.98,181.0,194.61,194.61,220.7186,179.84120000000001,38.106604949963305,19.38617235106954,240340.20653555,199854.3019766085,VENDI,BASSO,False,False,True,False,,False,True,False,False
2020-03-12,194.62,195.64,101.22,110.3,110.3,219.571,179.45974999999999,22.815731851676205,24.745731468850288,1290935.34805301,257556.45702962996,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-13,110.3,148.0,90.0,135.51,135.51,219.0332,179.19580000000002,31.647809943181528,27.12103636393241,1322282.9798003,320479.87646343897,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-14,135.44,135.9,120.71,122.17,122.17,218.23059999999998,178.87195,29.71044710716653,26.268819480794384,284672.85934781,329493.26243599004,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-15,122.11,134.1,119.84,123.3,123.3,217.4942,178.6245,30.100790528224792,25.411046660737643,438391.83520594,341524.07078288397,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-16,123.33,123.75,100.5,111.38,111.38,216.3748,178.3373,28.314517874458787,25.25668618497067,891238.58022214,378450.52411116345,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-17,111.36,121.49,109.66,116.09,116.09,215.3012,178.07575,30.080147814964263,24.297637171758478,418552.55664492,379160.52116049,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-18,116.06,118.88,110.18,118.6,118.6,214.1534,177.8091,31.054712254314467,23.183520230918585,306306.60980115,377340.14266477653,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-19,118.59,144.44,115.72,136.68,136.68,213.41800000000003,177.63604999999998,37.78193694871448,23.578983071567258,486951.21183315,388770.653877618,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-20,136.65,154.0,115.51,133.27,133.27,212.39239999999998,177.4084,37.04770497813286,24.644055709312454,626525.45202553,415426.8603892825,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-21,133.35,137.64,125.84,132.79,132.79,211.4534,177.17755,36.93888605886202,23.72662315864728,259380.31056445,421178.880449598,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-22,132.79,137.38,120.9,122.42,122.42,210.2318,176.91555,34.576013898941284,23.209007218743903,261957.09352208,424824.35850031005,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-23,122.31,138.0,119.2,137.0,137.0,209.20600000000002,176.73055,40.353086886089535,22.894078131690765,392334.34456747,435741.68045499607,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-24,137.0,144.16,133.04,139.0,139.0,208.19760000000002,176.57954999999998,41.12113327366202,22.05307255085571,328276.63196021,446813.174147119,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-25,138.95,142.79,132.5,136.26,136.26,207.158,176.37044999999998,40.354484348878835,21.212853082937446,228043.63383605,450214.0600796555,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-26,136.35,140.36,133.52,139.0,139.0,205.858,176.15765,41.52846419226081,20.186220719870487,168611.79605607,451629.28931239294,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-27,139.0,142.5,130.0,131.56,131.56,204.2302,175.9123,39.26833932299557,19.63720495416545,173786.92012003,452967.34161882894,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-28,131.56,133.8,125.01,131.35,131.35,202.39280000000002,175.67085000000003,39.203484500324286,18.86240460029649,172811.93639922,446909.81868057244,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-29,131.36,132.18,123.72,124.35,124.35,200.41240000000002,175.4011,37.00929571843551,18.119375700275313,93067.42014241,428471.23326089,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-30,124.43,135.48,124.05,132.32,132.32,198.48280000000003,175.15725000000003,41.05453907418031,17.641563150255646,154018.23932986,426924.2982983675,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-03-31,132.3,135.35,130.45,133.08,133.08,196.68740000000003,174.91440000000003,41.440731530464696,16.731451496665958,86613.22974083,419237.9494586315,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-04-01,133.08,137.4,128.6,136.14,136.14,194.65059999999997,174.65085000000002,43.05834958847629,16.164919246904105,99102.5178578,359646.30794887093,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-04-02,136.14,150.5,135.5,141.53,141.53,192.1514,174.412,45.89353537690363,16.0817107292681,214501.14100152,304257.216008932,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-04-03,141.48,146.81,138.0,141.54,141.54,189.61379999999997,174.13174999999998,45.898917496521086,15.562302820034665,120557.4337924,296051.44473116146,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-04-04,141.48,146.69,139.04,144.48,144.48,186.77800000000002,173.81439999999998,47.5507849444045,14.997138332889334,85410.10645987,278402.358293858,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-04-05,144.49,145.98,140.81,142.79,142.79,184.33540000000002,173.477,46.668682873705684,14.295199880540094,64777.90082877,237079.3243241895,VENDI,MEDIO,False,False,True,False,,False,True,False,False
2020-04-06,142.79,172.19,142.79,171.5,171.5,182.5954,173.2305,60.18222757260649,15.37411417478723,398555.26124929,236079.45955440798,VENDI,MEDIO,False,False,True,False,,False,True,False,False
